accuracy,loss,val_accuracy,val_loss
0.5711624622344971,1.0375710725784302,0.6676602363586426,0.9417128562927246
0.5886736512184143,1.0117948055267334,0.6691505312919617,0.9476999044418335
0.5827123522758484,1.0368362665176392,0.6616989374160767,0.9297311902046204
0.5845752358436584,1.0299615859985352,0.6587183475494385,0.9466850161552429
0.5901639461517334,1.0251190662384033,0.6572279930114746,0.9279337525367737
0.5681818127632141,1.0409560203552246,0.6631892919540405,0.9374665021896362
0.5678092241287231,1.051586389541626,0.6616989374160767,0.9300948977470398
0.5730253458023071,1.0341863632202148,0.6631892919540405,0.9427481889724731
0.5741430521011353,1.0392338037490845,0.6602086424827576,0.9429212808609009
0.5741430521011353,1.052636981010437,0.6572279930114746,0.9312713146209717
0.5842027068138123,1.0481626987457275,0.6646795868873596,0.9349077939987183
0.5726527571678162,1.0369737148284912,0.6616989374160767,0.9382513165473938
0.5655737519264221,1.0396031141281128,0.6587183475494385,0.9412961602210999
0.5812220573425293,1.0427730083465576,0.6572279930114746,0.9367743134498596
0.5748882293701172,1.0407286882400513,0.6691505312919617,0.9258130788803101
0.5815946459770203,1.0343945026397705,0.6676602363586426,0.9314839243888855
0.5789865851402283,1.0318429470062256,0.6602086424827576,0.9301499724388123
0.5883010625839233,1.0409786701202393,0.6646795868873596,0.9332563877105713
0.5771237015724182,1.030417799949646,0.6602086424827576,0.9417015314102173
0.5782414078712463,1.0379035472869873,0.6631892919540405,0.9331492185592651
0.5845752358436584,1.0406826734542847,0.6676602363586426,0.9363321661949158
0.5674366354942322,1.049494743347168,0.6602086424827576,0.9401111602783203
0.5879284739494324,1.0322686433792114,0.6646795868873596,0.9386328458786011
0.5789865851402283,1.0313268899917603,0.6646795868873596,0.9370149970054626
0.5834575295448303,1.0328279733657837,0.6616989374160767,0.9324479699134827
